[2020-04-13T09:15:44.636565][databus.dispatcher.primal_dispatcher][info] Dispatching client demo passenger databus.passenger.demo.demo_passenger_1
[2020-04-13T09:15:44.636565][databus.dispatcher.primal_dispatcher][info] Creating database databus.database.json_db.json_database
[2020-04-13T09:15:44.636565][databus.dispatcher.primal_dispatcher][info] Creating driver databus.driver.primal_driver
[2020-04-13T09:15:44.636565][databus.dispatcher.primal_dispatcher][info] Creating ticket
[2020-04-13T09:15:44.636565][databus.dispatcher.primal_dispatcher][info] Driving
[2020-04-13T09:15:44.636565][databus.driver.primal_driver][info] Driving...
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T10:21:30.101068_10552548-7bc5-11ea-8727-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:00:26.487726_cb87e51c-7bfc-11ea-9e2d-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:36:40.002375_db0be920-7c01-11ea-86c9-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:03:40.092831_3eedb090-7bfd-11ea-ad86-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:02:26.864708_1347f716-7bfd-11ea-9e2d-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:47:40.337462_64a30c94-7c03-11ea-a25e-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:41:36.954662_edcfa3cc-7c0a-11ea-9793-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:43:05.444362_c0c9b0be-7c02-11ea-b7bf-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:37:14.699785_517eb896-7c0a-11ea-a9b4-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:37:31.517763_f9c088f8-7c01-11ea-a8a4-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:06:04.055157_94bc9914-7bfd-11ea-a2bd-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:41:39.594095_ef62631e-7c0a-11ea-9793-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:37:35.441536_5ddba978-7c0a-11ea-bd55-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:22:59.291331_f1dd57f8-7bff-11ea-9817-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:47:32.266019_c197d9a4-7c0b-11ea-93d9-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:36:32.988934_38a2266e-7c0a-11ea-a784-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:21:41.265948_c35b9d86-7bff-11ea-aaa2-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:07:23.549775_25e2eba2-7c06-11ea-af8f-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:45:51.153276_8553450a-7c0b-11ea-a910-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:43:46.441384_3afdbecc-7c0b-11ea-8c06-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:23:58.992974_1573177a-7c00-11ea-9817-a82066455b02.txt
